zinc,,Smiles,Dock,SA,HBA,HBD,ROTB,LOGP,QED,MW
ZINC000000001219,,O=c1oc2cc(O)ccc2c2oc3cc(O)ccc3c12,-8.8,2.43556114,5,2,0,3.1036,0.478596593,268.2
ZINC000000001475,,Cc1ccc2c(-c3ccc(F)cc3)nc(=O)n(C(C)C)c2c1,-8.8,2.163657027,2,0,2,4.09192,0.71356803,296.3
ZINC000000007536,,Cc1cn2c(n1)Cc1ccc(Cl)cc1C(c1ccc(N)cc1)=N2,-8.8,2.845270542,2,1,1,3.63202,0.543971717,322.8
ZINC000000008866,,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1C[C@H](O)[C@H]2O,-8.8,3.87154208,3,3,0,2.58,0.687428138,288.4
ZINC000000026475,,O=C(Nc1nc(-c2ccccc2)ns1)c1ccc(O)cc1,-8.8,1.920154087,4,2,3,3.163,0.778360578,297.3
ZINC000000027259,,C#CCN1CC[C@]23CCCC[C@@H]2[C@H]1Cc1ccc(O)cc13,-8.8,4.426533921,2,1,1,3.0838,0.799690007,281.4
ZINC000000070745,,Cc1cc(-c2csc(Nc3ccc(C(=O)O)c(O)c3)n2)ccc1F,-8.8,2.168086995,5,3,4,4.40502,0.653118652,344.4
ZINC000000290573,,O=C(Nc1nc(-c2ccccc2)cs1)c1ccncc1,-8.8,1.76100028,3,1,3,3.4574,0.799564404,281.3
ZINC000000342068,,Cc1cc(Br)ccc1NC(=O)c1ccc2ccccc2c1,-8.8,1.598856697,1,1,2,5.16302,0.685640297,340.2
ZINC000000346082,,COc1ccc2c(=O)cc(-c3ccccc3)n(C)c2c1,-8.8,1.929608103,2,0,2,3.2141,0.712113265,265.3
ZINC000000537914,,O=C(O)Cn1c(C(=O)Nc2nc(-c3ccccc3Cl)cs2)cc2ccccc21,-8.8,2.215043314,4,2,5,4.7551,0.495745868,411.9
ZINC000000538045,,COc1ccc2c(c1)CCC(c1ccccc1)=C2c1ccc(OCCN2CCCC2)cc1,-8.8,2.213333726,3,0,7,6.0751,0.458180422,425.6
ZINC000000538202,,CCOC(=O)c1ccc(OCCC2CCN(c3ccc(C)nn3)CC2)cc1,-8.8,2.160444897,6,0,7,3.64722,0.69436164,369.5
ZINC000000538483,,O=c1n(CCCN2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12,-8.8,2.241610259,4,0,5,2.3617,0.690401063,371.9
ZINC000000639843,,O=C(Nc1cc(Cl)cc(Cl)c1)Nc1ccc(Cl)c(Cl)c1,-8.8,1.791802788,1,2,2,5.9442,0.69108568,350
ZINC000000967826,,Oc1cccc2c1ccc1ccccc12,-8.8,1.572353399,1,1,0,3.6986,0.540858098,194.2
ZINC000001039846,,O=C(Sc1n[nH]c(C(F)(F)F)n1)c1ccc(C#Cc2ccccc2)o1,-8.8,3.06817323,5,1,2,3.7488,0.554604795,363.3
ZINC000001532097,,CC(C)[C@H](C(=O)O[C@@H](C#N)c1cccc(Oc2ccccc2)c1)c1ccc(Cl)cc1,-8.8,3.02747758,4,0,7,6.67998,0.400527452,419.9
ZINC000001570644,,C[C@@H](CCc1ccc2c(c1)OCO2)NC[C@@H](O)c1ccc(O)c(C(N)=O)c1,-8.8,3.088567537,6,4,8,1.8641,0.562430221,372.4
ZINC000001729381,,O[C@H]1OC[C@@H](Cc2ccc3c(c2)OCO3)[C@@H]1Cc1ccc2c(c1)OCO2,-8.8,3.54053673,6,1,4,2.5102,0.908062317,356.4
ZINC000001843672,,CC1(C)[C@@H](/C=C(\Cl)C(F)(F)F)[C@H]1C(=O)O[C@@H](C#N)c1cccc(Oc2ccccc2)c1,-8.8,3.723787854,4,0,6,6.54398,0.469387702,449.9
ZINC000001846110,,Cc1ccccc1N1CCN([C@@H]2CCc3cc(O)ccc3C2)CC1,-8.8,2.57194071,3,1,2,3.38012,0.918066854,322.5
ZINC000001850213,,Nc1ccccc1C(=O)Oc1ccc2ccccc2c1,-8.8,1.690713408,3,1,2,3.6412,0.436035368,263.3
ZINC000001905712,,CCCCCCC(C)(C)c1cc(O)c2c(c1)OC(C)(C)[C@@H]1CC=C(C(=O)O)C[C@@H]21,-8.8,3.746599317,4,2,7,6.3158,0.525906366,400.6
ZINC000001997397,,CC(C)(C)c1ccc(CC[C@@H](O)COc2ccc(C(=O)O)cc2)cc1,-8.8,2.352207819,4,2,7,4.0548,0.79631919,342.4
ZINC000002044292,,CCO[C@@H](Nc1ccc(C(=O)O)cc1)C(=O)c1ccc(-c2ccccc2)cc1,-8.8,2.543385808,5,2,8,4.7092,0.440483861,375.4
ZINC000002047593,,CC(C)COc1cccc(-c2nc3ccc(C(=N)N)cc3[nH]2)c1O,-8.8,2.456293654,4,4,5,3.25437,0.426510349,324.4
ZINC000002573996,,CC(C)c1ccc2oc(-c3ccccc3)cc(=O)c2c1,-8.8,1.910182192,2,0,2,4.5834,0.677635803,264.3
